Timestamp,How often do you use YouTube?,Approximately how many hours do you spend on YouTube per week?,"Approximately what percentage (%) of the videos you watch come from YouTube recommendations (home page, post-video recommendations etc.)? (0-100)",What is/are the main reason(s) you click on a recommended video?,What  is/are the main reason(s) you ignore a recommended video?,Which YouTube recommendation surfaces do you regularly use?,"After ignoring a recommendation, what do you usually do?",How many recommended videos do you typically skip/scroll past before choosing one?,Which issue do you face most often with YouTube recommendations?,How often do you feel YouTube recommends the same type of content repeatedly?,How often do recommendations help you discover new creators you like and want to continue watching?,What kind of recommendations would you like to see more of?,What should YouTube prioritize when recommending videos?,How often do recommendations in Shorts help you discover new creators or topics?  ,"If you could improve one aspect of YouTube recommendations, what would it be?","Overall, how satisfied are you with YouTube's recommendation system?",How likely are you to watch more videos if YouTube's recommendations better matched your interests?
2026/07/18 6:28:47 PM GMT+5:30,Daily,3,40,Video duration,Clickbait,Shorts Feed,Watch Shorts,01-May,Repetitive videos,Sometimes,Rarely,New topics,My subscriptions,Sometimes,More content variety,8,Neutral
2026/07/18 6:29:29 PM GMT+5:30,Rarely,0,0,Interesting topic,Too long,Feed from subscribed channels,Leave YouTube,01-May,Irrelevant videos,Rarely,Rarely,New topics,My searches,Sometimes,More content variety,6,Unlikely
2026/07/18 6:36:43 PM GMT+5:30,Rarely,1,40,Interesting topic,Too long,Shorts Feed,Leave YouTube,01-May,Too many Shorts,Sometimes,Sometimes,Trending content,My searches,Sometimes,More content variety,6,Likely
2026/07/18 6:37:22 PM GMT+5:30,Multiple times a day,5,80,Interesting topic,Not relevant,I rarely use recommendations/ I prefer searching,Search for another video,01-May,Irrelevant videos,Sometimes,Sometimes,Similar to my interests,Videos similar to what I just watched,Sometimes,More content variety,7,Likely
2026/07/18 6:40:46 PM GMT+5:30,Daily,10,50,Interesting topic;Attractive thumbnail,Not relevant;Clickbait;Too long,Home Feed;Explore/Trending,Watch Shorts,06-Oct,Too much clickbait,Very Often,Often,Similar to my interests,My subscriptions,Often,Better personalization,5,Likely
2026/07/18 6:42:23 PM GMT+5:30,Several times a week,2,20,Familiar creator,Not relevant,Feed from subscribed channels,Watch Shorts,06-Oct,Repetitive videos,Often,Rarely,Similar to my interests,My watch history,Rarely,Better recommendations for new interests,4,Neutral
2026/07/18 6:47:25 PM GMT+5:30,Multiple times a day,3,5,Interesting topic,Uninteresting thumbnail,Home Feed,Search for another video,01-May,Too many Shorts,Sometimes,Sometimes,Similar to my interests,My searches,Sometimes,More content variety,9,Neutral
2026/07/18 6:48:43 PM GMT+5:30,Several times a week,5,2,Interesting topic;Familiar creator;Views,Not relevant;Clickbait;Too long,I rarely use recommendations/ I prefer searching,Search for another video,More than 20,Irrelevant videos,Often,Sometimes,Similar to my interests;Local/Regional content;Videos similar to the one I just watched,My searches,Rarely,Better personalization,4,Likely
2026/07/18 6:50:37 PM GMT+5:30,Daily,1,1,Interesting topic,Not relevant;Uninteresting thumbnail,I rarely use recommendations/ I prefer searching,Search for another video,01-May,Irrelevant videos,Often,Rarely,Similar to my interests;New topics,My searches,Rarely,More content variety,3,Neutral
2026/07/18 6:58:44 PM GMT+5:30,Weekly,2,5,Interesting topic,Too long,Home Feed,Search for another video,06-Oct,Repetitive videos,Never,Rarely,New topics,Trending videos,Sometimes,More content variety,9,Very Likely
2026/07/18 6:59:20 PM GMT+5:30,Weekly,2,40,Interesting topic;Familiar creator;Matching Genre,Don't recognize the creator,Shorts Feed;Feed from subscribed channels,Look for other recommendations,01-May,Irrelevant videos,Often,Sometimes,Similar to my interests;Local/Regional content,My watch history,Never,Fewer repeated videos,4,Likely
2026/07/18 7:05:31 PM GMT+5:30,Weekly,2,30,Interesting topic;Attractive thumbnail,Not relevant;,I rarely use recommendations/ I prefer searching,Watch Shorts,Nov-20,Too much clickbait,Sometimes,Sometimes,New topics,My searches,Sometimes,Better personalization,7,Neutral
2026/07/18 7:06:58 PM GMT+5:30,Multiple times a day,2,50,Interesting topic,Not relevant,Home Feed,Search for another video,01-May,Repetitive videos,Often,Sometimes,New topics;Trending content,Trending videos,Often,Better personalization,9,Likely
2026/07/18 7:08:55 PM GMT+5:30,Rarely,1,20,Interesting topic,Clickbait,I rarely use recommendations/ I prefer searching,Leave YouTube,06-Oct,Repetitive videos,Sometimes,Sometimes,Similar to my interests,My searches,Sometimes,More content variety,5,Neutral
2026/07/18 7:10:47 PM GMT+5:30,Multiple times a day,2,60,Interesting topic,Not relevant;Clickbait;Don't recognize the creator,Home Feed;Up Next;Shorts Feed,Search for another video,01-May,Too much clickbait,Often,Often,Similar to my interests;New topics;Trending content,Trending videos,Sometimes,Better personalization,8,Likely
2026/07/18 7:11:20 PM GMT+5:30,Weekly,1,50,Interesting topic,Not relevant,Home Feed;Shorts Feed;I rarely use recommendations/ I prefer searching,Leave YouTube,Nov-20,Repetitive videos,Often,Sometimes,Similar to my interests,Trending videos,Sometimes,More content variety,7,Neutral
2026/07/18 7:11:32 PM GMT+5:30,Multiple times a day,5,90,Interesting topic;Catchy title;Video duration,Not relevant;Clickbait;Too long;Don't recognize the creator,Home Feed;Up Next;Shorts Feed;Feed from subscribed channels,Watch Shorts,06-Oct,Irrelevant videos,Sometimes,Sometimes,Similar to my interests;Local/Regional content;Videos similar to the one I just watched,My searches,Often,Better personalization,9,Very Likely
2026/07/18 7:11:43 PM GMT+5:30,Weekly,1,5,Interesting topic,Not relevant,Shorts Feed,Leave YouTube,01-May,Old/outdated videos,Often,Sometimes,Trending content,My searches,Sometimes,More content variety,7,Likely
2026/07/18 7:14:13 PM GMT+5:30,Daily,3,20,Interesting topic;Familiar creator,Too long;Don't recognize the creator,Home Feed;Shorts Feed;I rarely use recommendations/ I prefer searching,Watch Shorts,01-May,Irrelevant videos,Sometimes,Sometimes,Videos similar to the one I just watched,My searches,Often,Better personalization,8,Very Likely
2026/07/18 7:15:45 PM GMT+5:30,Multiple times a day,1,90,Interesting topic,Not relevant;Clickbait,Shorts Feed,Watch Shorts,01-May,Repetitive videos,Often,Sometimes,Trending content,My searches,Sometimes,Less clickbait,7,Very Likely
2026/07/18 7:21:44 PM GMT+5:30,Multiple times a day,5,60,Interesting topic;Attractive thumbnail,Not relevant;Uninteresting thumbnail;Clickbait,Home Feed,Search for another video,06-Oct,Irrelevant videos,Sometimes,Sometimes,Similar to my interests;Trending content;Local/Regional content;Videos similar to the one I just watched,My watch history,Rarely,Better personalization,6,Likely
2026/07/18 7:30:10 PM GMT+5:30,Daily,3,0,Video duration,Not relevant;Clickbait;Too long,I rarely use recommendations/ I prefer searching,Search for another video,01-May,Irrelevant videos,Sometimes,Sometimes,Similar to my interests;Videos similar to the one I just watched,Videos similar to what I just watched,Rarely,Better recommendations for new interests,7,Neutral
2026/07/18 7:33:30 PM GMT+5:30,Several times a week,5,40,Interesting topic;Attractive thumbnail,Not relevant;Uninteresting thumbnail,Shorts Feed;Explore/Trending,Leave YouTube,More than 20,Irrelevant videos,Very Often,Often,Similar to my interests;New topics;Trending content,My searches,Rarely,Less clickbait,5,Neutral
2026/07/18 7:39:09 PM GMT+5:30,Daily,5,20,Interesting topic,Not relevant;Too long,I rarely use recommendations/ I prefer searching,Watch Shorts,06-Oct,Old/outdated videos,Sometimes,Sometimes,Similar to my interests;Trending content,My subscriptions,Sometimes,Less clickbait,4,Likely
2026/07/18 7:59:40 PM GMT+5:30,Several times a week,2,10,Familiar creator;Video duration,Not relevant;Too long,I rarely use recommendations/ I prefer searching,Leave YouTube,01-May,Repetitive videos,Very Often,Sometimes,Similar to my interests,My watch history,Sometimes,Fewer repeated videos,8,Likely
2026/07/18 8:20:28 PM GMT+5:30,Rarely,30,50,Interesting topic,Not relevant,I rarely use recommendations/ I prefer searching,Leave YouTube,01-May,Irrelevant videos,Rarely,Sometimes,Similar to my interests,My watch history,Rarely,Better recommendations for new interests,2,Very Likely
2026/07/18 8:29:22 PM GMT+5:30,Rarely,2,5,Interesting topic;Attractive thumbnail,Not relevant;Uninteresting thumbnail;Too long,Shorts Feed;Explore/Trending;Feed from subscribed channels,Browse subscriptions,01-May,Ads are more,Very Often,Sometimes,Similar to my interests;Videos similar to the one I just watched,My watch history,Very Often,Better recommendations for new interests,7,Very Likely
2026/07/18 8:42:51 PM GMT+5:30,Rarely,1,20,Interesting topic,Not relevant;Don't recognize the creator,I rarely use recommendations/ I prefer searching,Leave YouTube,01-May,Irrelevant videos,Often,Sometimes,Similar to my interests,My watch history,Sometimes,Fewer repeated videos,5,Neutral
2026/07/18 8:57:38 PM GMT+5:30,Several times a week,3,90,Interesting topic;Attractive thumbnail;Catchy title,Not relevant;Uninteresting thumbnail;Too long,Home Feed;Up Next;Shorts Feed,Watch Shorts,06-Oct,Repetitive videos,Sometimes,Sometimes,Similar to my interests;New topics;Trending content;Videos similar to the one I just watched,My searches,Sometimes,More content variety,8,Likely
2026/07/18 8:58:14 PM GMT+5:30,Several times a week,10,20,Interesting topic,Not relevant,Up Next;I rarely use recommendations/ I prefer searching,Leave YouTube,01-May,Irrelevant videos,Sometimes,Rarely,Similar to my interests,My searches,Rarely,Better personalization,5,Neutral
2026/07/18 9:01:18 PM GMT+5:30,Daily,45,100,Interesting topic,Too long,I rarely use recommendations/ I prefer searching,Watch Shorts,Nov-20,Old/outdated videos,Often,Rarely,New topics,Videos similar to what I just watched,Rarely,More content variety,2,Neutral
2026/07/18 9:04:24 PM GMT+5:30,Multiple times a day,15,80,Interesting topic;Attractive thumbnail;Catchy title;Familiar creator,Not relevant;Clickbait,Home Feed;Up Next;Feed from subscribed channels,Look for other recommendations,06-Oct,Repetitive videos,Often,Often,Similar to my interests;New topics;Videos similar to the one I just watched,My watch history,Rarely,More content variety,6,Neutral
2026/07/18 9:07:49 PM GMT+5:30,Several times a week,2,50,Interesting topic;Video duration,Don't recognize the creator,Home Feed;Shorts Feed,Watch Shorts,01-May,Repetitive videos,Very Often,Sometimes,Similar to my interests,Trending videos,Sometimes,Better recommendations for new interests,6,Neutral
2026/07/18 9:11:48 PM GMT+5:30,Multiple times a day,2,70,Interesting topic;Attractive thumbnail;Catchy title;Familiar creator,Clickbait;Too long;Don't recognize the creator,Home Feed;Up Next,Leave YouTube,01-May,Too many Shorts,Sometimes,Often,New topics,My searches,Sometimes,More content variety,7,Likely
2026/07/18 9:19:19 PM GMT+5:30,Multiple times a day,2,1,Video duration;K,Not relevant,Explore/Trending,Watch Shorts,Nov-20,Too much clickbait,Sometimes,Sometimes,New topics,My subscriptions,Sometimes,More content variety,2,Neutral
2026/07/18 9:24:30 PM GMT+5:30,Multiple times a day,4,100,Familiar creator,Uninteresting thumbnail,Home Feed;Shorts Feed,Search for another video,Nov-20,Old/outdated videos,Sometimes,Rarely,Similar to my interests,My searches,Sometimes,More content variety,6,Neutral
2026/07/18 9:24:52 PM GMT+5:30,Daily,2,1,Familiar creator,Clickbait,Home Feed,Watch Shorts,01-May,Repetitive videos,Never,Never,Similar to my interests,My watch history,Sometimes,More content variety,3,Very Unlikely
2026/07/18 9:28:20 PM GMT+5:30,Multiple times a day,10,50,Interesting topic / Related to what I just watched,Not relevant,Home Feed,Search for another video,01-May,Repetitive videos,Never,Never,Similar to my interests,My watch history,Never,Better personalization,1,Very Unlikely
2026/07/18 9:28:27 PM GMT+5:30,Multiple times a day,7,80,Interesting topic / Related to what I just watched,Not relevant;Clickbait;Too long,Home Feed;Shorts Feed,Watch Shorts,Nov-20,Irrelevant videos,Sometimes,Often,Similar to my interests;Local/Regional content;Videos similar to the one I just watched,Videos similar to what I just watched,Often,Less clickbait,8,Likely
2026/07/18 9:28:47 PM GMT+5:30,Daily,2,50,Interesting topic / Related to what I just watched,Too long,Up Next,Search for another video,01-May,Too much clickbait,Sometimes,Rarely,New topics,Trending videos,Sometimes,More content variety,5,Unlikely
2026/07/18 9:33:36 PM GMT+5:30,Rarely,2,53.75,Interesting topic / Related to what I just watched;Attractive thumbnail;Catchy title;Familiar creator,Not relevant;Uninteresting thumbnail;Clickbait;Too long;Don't recognize the creator,Shorts Feed,Watch Shorts,01-May,Irrelevant videos,Sometimes,Rarely,Similar to my interests;New topics,My watch history,Sometimes,Better recommendations for new interests,6,Neutral
2026/07/18 9:33:40 PM GMT+5:30,Daily,2,100,Interesting topic / Related to what I just watched,Too long,Home Feed,Leave YouTube,06-Oct,Repetitive videos,Often,Sometimes,Similar to my interests,My watch history,Sometimes,Fewer repeated videos,5,Neutral
2026/07/18 9:34:30 PM GMT+5:30,Daily,1,2,Attractive thumbnail,Uninteresting thumbnail,Shorts Feed,Browse subscriptions,06-Oct,Repetitive videos,Never,Never,Similar to my interests,Videos similar to what I just watched,Never,More content variety,5,Very Likely
2026/07/18 9:42:50 PM GMT+5:30,Several times a week,2,2,Attractive thumbnail,Don't recognize the creator,Home Feed,Search for another video,More than 20,Too much clickbait,Often,Sometimes,Similar to my interests,My subscriptions,Sometimes,Fewer repeated videos,9,Likely
2026/07/18 9:44:15 PM GMT+5:30,Weekly,2,10,Interesting topic / Related to what I just watched,Too long,Home Feed;Explore/Trending,Search for another video,01-May,Too much clickbait,Never,Sometimes,Similar to my interests;Local/Regional content,Videos similar to what I just watched,Sometimes,More content variety,10,Likely
2026/07/18 9:44:56 PM GMT+5:30,Daily,1,100,Interesting topic / Related to what I just watched,Uninteresting thumbnail,Home Feed;I rarely use recommendations/ I prefer searching,Watch Shorts,06-Oct,Irrelevant videos,Rarely,Sometimes,Similar to my interests;Trending content;Videos similar to the one I just watched,My searches,Sometimes,Better recommendations for new interests,6,Likely
2026/07/18 9:46:40 PM GMT+5:30,Several times a week,2,0,Interesting topic / Related to what I just watched,Not relevant,I rarely use recommendations/ I prefer searching,Leave YouTube,01-May,Repetitive videos,Very Often,Rarely,Trending content,Trending videos,Very Often,Fewer repeated videos,5,Very Unlikely
2026/07/18 9:49:59 PM GMT+5:30,Daily,3,10,Attractive thumbnail,Not relevant,Home Feed,Browse subscriptions,More than 20,Too much clickbait,Often,Sometimes,Videos similar to the one I just watched,My subscriptions,Sometimes,Fewer repeated videos,4,Neutral
2026/07/18 9:51:32 PM GMT+5:30,Multiple times a day,30,30,Interesting topic / Related to what I just watched,Not relevant,Home Feed,Search for another video,01-May,Repetitive videos,Never,Never,Smaller creators,My subscriptions,Sometimes,More content variety,2,Neutral
2026/07/18 9:58:32 PM GMT+5:30,Rarely,3,10,Interesting topic / Related to what I just watched,Not relevant,Home Feed,Search for another video,06-Oct,Repetitive videos,Sometimes,Sometimes,Similar to my interests,My searches,Never,More content variety,5,Likely
2026/07/18 9:59:54 PM GMT+5:30,Daily,12,20,Interesting topic / Related to what I just watched;Attractive thumbnail;Catchy title,Not relevant;Uninteresting thumbnail;Clickbait;Too long,Home Feed;Shorts Feed,Look for other recommendations,06-Oct,Too much clickbait,Rarely,Sometimes,New topics;Local/Regional content;Videos similar to the one I just watched,My searches,Often,Better personalization,8,Very Likely
2026/07/18 10:01:44 PM GMT+5:30,Daily,2,70,Familiar creator,Not relevant,Up Next,Search for another video,06-Oct,Repetitive videos,Very Often,Rarely,New topics,Videos similar to what I just watched,Very Often,Better recommendations for new interests,8,Very Likely
2026/07/18 10:02:45 PM GMT+5:30,Daily,10,50,Interesting topic / Related to what I just watched,Not relevant,Home Feed,Browse subscriptions,01-May,Irrelevant videos,Often,Very Often,Similar to my interests,My watch history,Never,Better personalization,5,Neutral
2026/07/18 10:05:28 PM GMT+5:30,Daily,7,50,Interesting topic / Related to what I just watched,Not relevant,Home Feed;Explore/Trending,Search for another video,01-May,Old/outdated videos,Never,Rarely,Similar to my interests;New topics;Trending content,My searches,Rarely,Less clickbait,7,Likely
2026/07/18 10:06:26 PM GMT+5:30,Several times a week,3,50,Interesting topic / Related to what I just watched;Catchy title;Familiar creator,Not relevant;Uninteresting thumbnail,Home Feed;Up Next;Explore/Trending,Look for other recommendations,01-May,Irrelevant videos,Sometimes,Often,Similar to my interests;New topics,My watch history,Sometimes,Better personalization,7,Likely
2026/07/18 10:17:07 PM GMT+5:30,Multiple times a day,2,70,Interesting topic / Related to what I just watched;Attractive thumbnail,Too long,Home Feed,Look for other recommendations,01-May,Repetitive videos,Sometimes,Sometimes,Similar to my interests;Trending content,My watch history,Rarely,Better personalization,7,Likely
2026/07/18 10:22:29 PM GMT+5:30,Daily,10,20,Interesting topic / Related to what I just watched;Catchy title;Familiar creator,Not relevant;Uninteresting thumbnail;Too long;Don't recognize the creator,Explore/Trending;I rarely use recommendations/ I prefer searching,Search for another video,More than 20,Old/outdated videos,Often,Sometimes,Similar to my interests;Trending content;Videos similar to the one I just watched,Videos similar to what I just watched,Sometimes,More content variety,7,Neutral
2026/07/18 10:22:41 PM GMT+5:30,Multiple times a day,15,80,Interesting topic / Related to what I just watched,Not relevant;Uninteresting thumbnail,Home Feed,Search for another video,Nov-20,Too many Shorts,Rarely,Never,Similar to my interests,My watch history,Never,Better personalization,1,Very Unlikely
2026/07/18 10:22:50 PM GMT+5:30,Daily,2,100,Interesting topic / Related to what I just watched,Not relevant,Home Feed,Watch Shorts,01-May,Repetitive videos,Sometimes,Never,Trending content,Videos similar to what I just watched,Often,Better recommendations for new interests,2,Very Unlikely
2026/07/18 10:34:12 PM GMT+5:30,Daily,3,90,Interesting topic / Related to what I just watched,Uninteresting thumbnail;Too long,Home Feed,Search for another video,01-May,Irrelevant videos,Rarely,Sometimes,New topics;Local/Regional content,My subscriptions,Rarely,More content variety,2,Unlikely
2026/07/18 10:50:04 PM GMT+5:30,Daily,2,50,Interesting topic / Related to what I just watched,Clickbait,Home Feed,Look for other recommendations,01-May,Irrelevant videos,Rarely,Sometimes,New topics,My watch history,Sometimes,Fewer repeated videos,5,Neutral
2026/07/18 10:59:34 PM GMT+5:30,Several times a week,1,50,Attractive thumbnail;Catchy title,Too long;,Home Feed,Search for another video,06-Oct,Too much clickbait,Very Often,Sometimes,Trending content,My searches,Sometimes,Fewer repeated videos,4,Neutral
2026/07/18 11:02:52 PM GMT+5:30,Multiple times a day,2,80,Interesting topic / Related to what I just watched;Attractive thumbnail;Catchy title;Familiar creator,Not relevant;Uninteresting thumbnail;Don't recognize the creator,Home Feed,Search for another video,01-May,Irrelevant videos,Rarely,Rarely,Similar to my interests;New topics;Trending content,My searches,Rarely,Less clickbait,8,Very Likely
2026/07/18 11:44:32 PM GMT+5:30,Daily,2,10,Interesting topic / Related to what I just watched,Not relevant,Shorts Feed,Watch Shorts,01-May,Repetitive videos,Never,Never,New topics,My watch history,Never,Better personalization,2,Very Unlikely
2026/07/18 11:49:14 PM GMT+5:30,Daily,2,75,Interesting topic / Related to what I just watched;Familiar creator,Not relevant;Uninteresting thumbnail;Too long,Home Feed;Shorts Feed,Look for other recommendations,01-May,Repetitive videos,Sometimes,Sometimes,Similar to my interests;Trending content;Videos similar to the one I just watched,My watch history,Sometimes,More content variety,8,Likely
2026/07/19 12:12:20 AM GMT+5:30,Multiple times a day,3,40,Interesting topic / Related to what I just watched,Not relevant;Uninteresting thumbnail;Clickbait,Home Feed;Up Next,Look for other recommendations,01-May,Irrelevant videos,Often,Rarely,Similar to my interests,My watch history,Often,Better personalization,6,Likely
